Time,CPU %,Memory (MB)
1676397512.5591843,0.0,1.672
1676397513.5702925,0.9890138756088043,1.904
1676397514.5871637,20.651582730118893,1.904
1676397515.6140969,19.23202028198836,1.904
1676397516.640745,16.55874190736156,2.58
1676397517.6738439,19.11723970496161,3.372
1676397518.6906452,23.60343033417479,3.38
1676397519.7131467,24.694341058628286,3.38
1676397520.7458553,21.545282990118412,3.388
1676397521.7782373,21.552099662734825,3.392
1676397522.8087988,22.075345495464653,3.756
1676397523.848352,20.20098701849136,4.26
1676397524.901908,22.779995356346102,4.26
1676397525.950628,21.931494906051878,4.268
1676397526.9896493,25.264160775737167,4.268
1676397528.028446,21.90033988757018,4.276
1676397529.0558596,24.576275646655997,4.276
1676397530.0920985,25.090738998518493,4.284
1676397531.142754,20.93930678009219,4.288
1676397532.1849856,26.385691109283115,4.288
1676397533.2810175,20.98479059909839,4.296
1676397534.3277133,27.228543834393292,4.296
1676397535.3908064,23.751445636358042,4.304
1676397536.4171593,24.35809401333756,4.304
1676397537.4911208,22.34716987666393,4.312
1676397538.549896,22.667701609498256,4.312
1676397539.5720258,26.904607122305602,4.312
1676397540.6476004,19.989314800853933,4.32
1676397541.6648853,26.295485940055347,4.32
1676397542.7006795,23.653346026964154,4.328
1676397543.7188122,24.55475629912059,4.328
1676397544.7433789,24.644565573526297,4.34
1676397545.870834,21.730352788920875,4.34
1676397547.0145004,25.7942380928953,4.348
1676397548.0582087,26.348357444553365,4.348
1676397549.1395829,22.42517040699246,4.348
1676397550.1945493,24.408359153417656,4.356
1676397551.3158028,25.640945820835636,4.356
1676397552.3656368,26.19461711075934,4.364
1676397553.4639847,24.582374986568745,4.364
1676397554.537337,26.785240048458796,4.372
1676397555.6830268,21.166289137716916,4.372
1676397556.725748,25.654027332862324,4.38
1676397557.7672684,23.043236587414377,4.38
1676397558.901493,22.041488807792177,4.38
1676397560.0310166,25.89587520171231,4.856
1676397561.158259,25.061159725778225,4.856
1676397562.1850305,26.29601503926999,4.864
1676397563.2764802,24.50868700566552,4.864
1676397564.4519,21.694376629287788,4.872
1676397565.5453951,26.97771501319865,4.872
1676397566.5674076,27.152310520779764,4.88
1676397567.7010233,20.06852882677428,4.88
1676397568.7664142,27.454713618866734,4.888
1676397569.8265705,24.524684602994885,4.888
1676397570.8937483,25.768902527843668,4.896
1676397571.9325922,23.824561814199598,4.896
1676397572.9981425,23.22743409285069,4.896
1676397574.0271304,25.510504443118183,4.896
1676397575.1075563,23.139021567270973,4.896
1676397576.273887,21.86344122838658,4.896
1676397577.411076,26.38083559255199,4.896
1676397578.569121,25.042208749417284,4.896
1676397579.6083755,27.904613725782674,4.896
1676397580.6579273,25.96346548802744,4.896
1676397581.721024,24.692013883983126,4.896
1676397582.7939565,25.39768388328984,4.896
1676397583.824006,28.15398506738233,4.896
1676397584.8988109,25.353441326620104,4.896
1676397586.1044548,22.39467240094941,4.896
1676397587.2563195,26.478802782952947,4.896
1676397588.4706693,23.67522213269358,4.896
1676397589.517066,29.386559657463707,4.896
1676397590.5916185,24.894082982028127,4.896
1676397591.8183541,21.602047071289256,4.896
1676397592.9372144,26.589558561553613,4.896
1676397594.0076892,28.25848699869938,4.896
1676397595.1118772,24.45235851704701,4.896
1676397596.182435,24.98697331660094,4.896
1676397597.3202417,24.389029456822442,4.896
1676397598.4007983,27.532106271966462,4.896
1676397599.494684,25.825368252446612,4.896
1676397600.6210501,26.63432340132622,4.896
1676397601.6916199,25.687256627905157,4.896
1676397602.796431,27.15396099280226,4.896
1676397603.8834724,24.608078901921527,4.896
1676397604.9706702,25.064436743728642,4.896
1676397606.162832,25.16436949944299,4.896
1676397607.2624717,27.054317191514755,4.896
1676397608.3012996,27.91607744494146,4.896
1676397609.5183895,20.54079996552295,4.896
1676397610.6319225,24.920679944913758,4.896
1676397611.648736,28.27460446794396,4.896
1676397612.7061694,25.297102248220494,4.896
1676397613.7885165,24.945785541004607,4.896
1676397614.8595555,24.042075898049628,4.896
1676397616.0052314,23.566874415880886,4.896
1676397617.1873546,22.628775374209447,4.896
1676397618.3360724,28.72768028373191,4.896
1676397619.4061723,27.100275292068854,4.896
1676397620.553503,24.186573692909796,4.896
1676397621.6970582,25.578127677779584,4.896
1676397622.8514283,25.77163146025454,4.896
1676397623.9388113,28.968633018440897,4.896
1676397625.0298197,24.51860076691066,4.896
1676397626.1546702,26.003455303292878,4.896
1676397627.2590685,25.80590831707391,4.896
1676397628.3403106,25.20249663841132,4.896
1676397629.446825,24.626881198209624,4.896
1676397630.538791,26.099715788322246,4.896
1676397631.6491098,26.11862233641069,4.896
1676397632.7907338,26.059368655131042,4.896
1676397634.0290284,22.00607187360898,4.896
1676397635.19923,29.48210100646238,4.896
1676397636.3620842,26.443555986389455,4.896
1676397637.4097285,28.635671288505048,4.896
1676397638.562587,24.28745600968164,4.896
1676397639.6851795,27.83735096614756,4.896
1676397640.7537785,27.840191127723575,4.896
