Time,CPU %,Memory (MB)
1676397071.5390487,0.0,1.748
1676397072.5566034,8.844732837949227,1.876
1676397073.587672,17.70008382249056,2.332
1676397074.6039844,19.678989228246824,2.332
1676397075.6399152,17.617005626455555,2.332
1676397076.6496654,17.083434332129375,2.332
1676397077.6604693,18.054935596807166,2.8
1676397078.6862233,16.085728550429955,2.808
1676397079.7280462,20.396940583405527,2.816
1676397080.7640834,21.717366765965828,2.816
1676397081.7801106,22.883245371905417,2.816
1676397082.833624,21.35711076988879,2.816
1676397083.8877516,20.396010975877886,3.308
1676397084.9293313,22.56188314057584,3.576
1676397085.9493687,26.469617354553055,3.576
1676397086.9894164,25.239228329431718,3.576
1676397088.031361,23.513722952529044,3.576
1676397089.0584867,24.339769228822977,3.576
1676397090.0755684,24.825929980426395,4.228
1676397091.1313329,20.83798168870985,5.1
1676397092.1526513,25.70207203085171,5.1
1676397093.2104006,23.162388916362872,5.304
1676397094.2497675,26.939474760524412,5.304
1676397095.2814646,25.92815438716174,5.304
1676397096.2991047,23.09264314625142,5.312
1676397097.331622,21.791404651128474,5.312
1676397098.4296362,23.679107553166844,5.312
1676397099.5158072,24.397633661864553,5.312
1676397100.5242896,25.03761948914891,5.312
1676397101.5453255,25.219485188095398,5.312
1676397102.576129,22.312692277535092,5.32
1676397103.602152,25.34055884890573,5.32
1676397104.633341,23.758981947321704,5.32
1676397105.6805847,23.156026079247713,5.32
1676397106.7292025,25.98658821678396,5.32
1676397107.7480683,23.800975000661033,5.32
1676397108.7804368,21.310221758693405,5.328
1676397109.8236496,24.20407208050545,5.328
1676397110.8548064,24.971954353598942,5.328
1676397111.8823032,26.520763480146947,5.328
1676397112.917535,27.047081845854066,5.328
1676397113.959302,25.437552737884218,5.336
1676397115.0230675,20.21122087357532,5.336
1676397116.1222904,25.017673883927394,5.336
1676397117.1453466,27.613339426694345,5.336
1676397118.1958904,25.700975421555462,5.336
1676397119.2345865,25.27207067334733,5.336
1676397120.287388,22.796317742998408,5.344
1676397121.3270462,25.72961320833034,5.344
1676397122.3932395,23.916862908908268,5.344
1676397123.4667711,23.054746932852606,5.344
1676397124.5121565,26.784381197738238,5.344
1676397125.550467,25.04067839420984,5.344
1676397126.6127293,21.651902804003495,5.352
1676397127.6912477,23.875346237118237,5.352
1676397128.7343652,27.561611573723578,5.352
1676397129.81961,24.18808892302393,5.352
1676397130.8510404,28.11629788457689,5.352
1676397131.921202,26.631492388577875,5.352
1676397132.9780316,23.892212923827945,5.352
1676397134.0541255,25.090746909525123,5.352
1676397135.0988863,25.84323845219259,5.352
1676397136.1551526,25.088370047911006,5.352
1676397137.1838393,24.059802184430907,5.352
1676397138.2291305,25.590955299503754,5.352
1676397139.289101,24.057276041097218,5.352
1676397140.3598773,25.682297810677984,5.352
1676397141.384659,26.347074597405506,5.352
1676397142.4273458,23.496990976015024,5.352
1676397143.464611,25.306929655316917,5.352
1676397144.5099216,26.307972675539336,5.352
1676397145.5834334,25.616857684444643,5.352
1676397146.6680732,26.045513285643935,5.352
1676397147.7330573,25.821982163337502,5.352
1676397148.7887778,24.86453404721253,5.352
1676397149.8061483,25.556079088649142,5.352
1676397150.8407316,25.855819652543172,5.352
1676397151.8912263,21.6564639792069,5.352
1676397152.943394,26.611728551581976,5.352
1676397153.9879801,24.890239270793582,5.352
1676397155.0190434,25.944090461229706,5.352
1676397156.1109648,24.956010349684018,5.352
1676397157.1452255,25.380446859892174,5.352
1676397158.1876636,25.421175389989127,5.352
1676397159.231436,25.628191056942907,5.352
1676397160.261277,24.518349258913148,5.352
1676397161.3254023,24.66814764527755,5.352
1676397162.4454558,24.552397961192717,5.352
1676397163.497053,27.10163379295617,5.352
1676397164.5723019,22.320412264427876,5.352
1676397165.5957396,27.114497500238187,5.352
1676397166.659168,23.038692548688065,5.352
1676397167.6814272,25.92297441078637,5.352
1676397168.7130923,24.717323797808348,5.352
1676397169.7991502,24.86055298306985,5.352
1676397170.8856068,22.320267004379456,5.352
1676397171.9650993,24.316980732024,5.448
1676397173.0214853,26.9787749582243,5.448
1676397174.073836,23.993901056191287,5.448
1676397175.1001337,26.551753424937313,5.448
1676397176.1588926,24.793178280189885,5.448
1676397177.210978,23.524706272664233,5.448
1676397178.2455719,24.647353862894803,5.448
1676397179.3227477,22.51257292215164,5.448
1676397180.3930302,24.75981902790994,5.448
1676397181.4351184,24.470095988523838,5.448
1676397182.4810603,23.901902850195054,5.448
1676397183.550825,23.13592556495915,5.448
1676397184.665754,22.19872374849524,5.448
1676397185.7494988,24.68293354716878,5.448
1676397186.8058197,26.98043733358373,5.448
1676397187.8392391,24.91728017810695,5.448
1676397188.8850179,24.8618553072122,5.448
1676397189.9373837,27.794518369294423,5.448
1676397190.9761443,25.27049873785764,5.448
1676397192.0272038,22.358392029149336,5.448
1676397193.0594556,24.218896160318625,5.448
1676397194.0740273,24.88734983275467,5.448
1676397195.1095893,24.382894566592395,5.448
1676397196.181258,24.261230940638367,5.448
1676397197.277572,23.25976051013915,5.448
1676397198.3378086,24.522826068624635,5.448
1676397199.3453476,26.053581168619814,5.448
1676397200.3623223,25.566024717846897,5.448
1676397201.44823,22.791992406842418,5.448
1676397202.4820848,24.423160661587037,5.448
1676397203.5394566,25.535009162470967,5.448
1676397204.6153438,23.701369366382643,5.448
1676397205.665945,24.985692859773955,5.448
1676397206.7002268,26.346786559621226,5.448
1676397207.766546,22.97623392190461,5.448
1676397208.819617,25.401895447032825,5.448
1676397209.864427,24.406350069861602,5.448
1676397210.8856456,24.480558335732184,5.448
1676397211.9198623,25.38152928925762,5.448
1676397212.9794464,24.301986986236976,5.448
1676397214.010332,24.73601107161979,5.448
1676397215.0533822,24.92689586819609,5.448
1676397216.109176,25.573176283557043,5.448
1676397217.171009,24.485956353562315,5.448
1676397218.2125583,23.762679537991335,5.448
1676397219.2948737,26.563420243371738,5.448
1676397220.365275,22.18794241253291,5.448
1676397221.4051716,22.117580920767402,5.448
1676397222.4787805,23.98452601596879,5.448
1676397223.5369644,24.570398200230525,5.448
1676397224.5914745,25.84138318980884,5.448
1676397225.6470234,24.158046914897678,5.448
1676397226.6932771,24.133726317171597,5.448
1676397227.7333708,24.517022814373718,5.448
1676397228.7779276,24.17293022510534,5.448
1676397229.8330522,24.167763601643713,5.448
1676397230.8930209,22.64217780657898,5.448
1676397231.9608495,24.582595598193578,5.448
1676397232.996767,24.133195456889865,5.448
1676397234.0387206,23.753457795513995,5.448
1676397235.0810199,26.144122679403154,5.448
1676397236.1225994,27.122269983686113,5.448
1676397237.1896122,23.89849523257958,5.448
1676397238.2382708,25.270378522337644,5.448
1676397239.3290362,24.524061847404504,5.448
1676397240.4114585,27.02272595114341,5.448
1676397241.4626188,26.399397943154217,5.448
1676397242.5050063,25.422408047409874,5.448
1676397243.574564,26.646529575015563,5.448
1676397244.6329498,26.219171416780675,5.448
1676397245.6702597,24.58281789089899,5.448
1676397246.7295237,25.489397743578497,5.448
1676397247.7647657,26.32234576658415,5.448
1676397248.8170292,25.18380618795056,5.448
1676397249.8765824,24.066749353297705,5.448
1676397250.9243767,25.76841553410813,5.448
