Time,CPU %,Memory (MB)
1676327542.039006,14.572864321608037,2102
1676327543.049705,15.174129353233834,2108
1676327544.0604725,1.2406947890818865,2108
1676327545.0721846,5.970149253731338,2116
1676327546.0846446,12.311557788944727,2112
1676327547.092381,23.05764411027569,2109
1676327548.0995038,25.126903553299496,2120
1676327549.110482,20.300751879699252,2104
1676327550.1220725,16.541353383458645,2088
1676327551.1309268,28.894472361809044,2090
1676327552.1429799,21.518987341772156,2102
1676327553.150322,39.949748743718594,2098
1676327554.158415,33.333333333333336,2110
1676327555.165192,30.35714285714286,2112
1676327556.1767485,35.949367088607595,2121
1676327557.1865766,31.313131313131315,2122
1676327558.196588,43.18181818181818,2107
1676327559.202625,41.708542713567844,2101
1676327560.2103102,41.38817480719794,2111
1676327561.2206352,42.75,2112
1676327562.2313912,43.67245657568238,2112
1676327563.2377293,46.96969696969697,2115
1676327564.247686,43.82871536523929,2119
1676327565.2552793,53.535353535353536,2124
1676327566.2693217,49.74874371859297,2128
1676327567.2788122,56.25,2126
1676327568.2842422,54.6134663341646,2124
1676327569.2897706,51.515151515151516,2114
1676327570.3073864,55.61224489795919,2120
1676327571.3143876,57.289002557544755,2123
1676327572.3338096,54.75,2122
1676327573.3401608,58.524173027989825,2128
1676327574.3474717,53.43511450381679,2128
1676327575.363779,61.30653266331658,2137
1676327576.3747654,57.82828282828283,2138
1676327577.3823748,68.35443037974683,2143
1676327578.3925257,64.24870466321244,2142
1676327579.414219,63.63636363636363,2141
1676327580.4196646,64.57286432160805,2139
1676327581.433928,62.43654822335025,2137
1676327582.4490695,72.38805970149254,2134
1676327583.4572313,70.67669172932331,2132
1676327584.463547,70.81218274111676,2144
1676327585.474644,71.86700767263427,2149
1676327586.4890735,68.86075949367088,2142
1676327587.5113292,70.96774193548387,2148
1676327588.520622,77.32997481108312,2142
1676327589.5283546,69.67418546365916,2142
1676327590.5406346,72.4935732647815,2140
1676327591.5536668,67.86632390745501,2140
1676327592.575222,73.09644670050761,2154
1676327593.5849066,63.1979695431472,2154
1676327594.5942838,73.53689567430027,2158
1676327595.6181197,71.53846153846153,2155
1676327596.6248937,71.50127226463104,2154
1676327597.632607,77.74936061381075,2157
1676327598.638473,71.42857142857143,2155
1676327599.6463943,71.64556962025317,2162
1676327600.6551614,77.31958762886599,2147
1676327601.6681995,77.17948717948718,2157
1676327602.6790922,75.31486146095719,2160
1676327603.6880481,74.23469387755102,2165
1676327604.7092931,73.96907216494846,2165
1676327605.7187643,78.11704834605597,2160
1676327606.7312553,71.46596858638743,2160
1676327607.7382143,78.53535353535354,2163
1676327608.7447608,74.87437185929649,2162
1676327609.7660286,76.30922693266832,2175
1676327610.7731397,74.81108312342569,2167
1676327611.78121,75.44757033248082,2165
1676327612.7891796,76.72634271099744,2172
1676327613.7964783,74.43037974683544,2170
1676327614.811251,76.72634271099744,2151
1676327615.8267827,75.0,2150
1676327616.8332424,76.74418604651163,2162
1676327617.8434172,77.52525252525253,2165
1676327618.8575976,74.5,2170
1676327619.8649406,76.67493796526055,2169
1676327620.8708172,73.9795918367347,2172
1676327621.877982,73.26478149100257,2171
1676327622.8872652,77.23785166240408,2168
1676327623.903346,75.06361323155217,2167
1676327624.9109735,75.56675062972292,2163
1676327625.9178894,75.8974358974359,2164
1676327626.927112,76.20253164556962,2172
1676327627.9360898,86.23376623376625,2165
1676327628.9430976,76.07052896725442,2164
1676327629.9500926,75.51546391752578,2171
1676327630.958713,74.24242424242425,2170
1676327631.9695034,77.41116751269035,2175
1676327632.9794369,75.75757575757575,2174
1676327633.990206,73.6842105263158,2182
1676327634.9977906,74.93540051679585,2179
1676327636.0047429,74.62311557788945,2165
1676327637.0091932,77.66497461928934,2159
1676327638.0355625,74.93606138107417,2158
1676327639.057016,75.74257425742574,2150
1676327640.0637932,76.05985037406484,2162
1676327641.074398,75.38071065989847,2172
1676327642.0872238,76.51515151515152,2170
1676327643.0965247,77.25,2170
1676327644.1081462,74.48453608247422,2170
1676327645.1162765,77.12082262210797,2184
1676327646.1278393,75.83547557840618,2182
1676327647.1372116,77.66497461928934,2179
1676327648.1566775,74.68671679197996,2178
1676327649.1971772,76.0204081632653,2178
1676327650.20629,74.27184466019418,2176
1676327651.214993,76.6497461928934,2182
1676327652.2250023,77.35368956743002,2179
1676327653.2337399,76.20253164556962,2179
1676327654.241683,77.3067331670823,2177
1676327655.2594454,73.1457800511509,2176
1676327656.2689843,76.08142493638677,2176
1676327657.2905889,79.48717948717949,2176
1676327658.3065379,77.61194029850746,2167
1676327659.3144474,76.82619647355163,2169
1676327660.3230484,75.69620253164557,2174
1676327661.3337405,76.57430730478589,2179
1676327662.3440504,81.86274509803921,2171
1676327663.3538828,77.44360902255639,2169
1676327664.3685102,79.18781725888324,2169
1676327665.3772306,74.48453608247422,2169
1676327666.385546,75.1269035532995,2169
1676327667.3919733,74.80916030534351,2171
1676327668.398819,75.56675062972292,2169
1676327669.4094453,77.40259740259741,2171
1676327670.4171257,72.7735368956743,2170
1676327671.4282515,81.61209068010076,2169
1676327672.4337866,72.93814432989691,2166
1676327673.4439573,76.04166666666666,2173
1676327674.449917,76.45569620253164,2168
1676327675.4560263,74.35897435897436,2172
1676327676.4677222,76.39593908629442,2166
1676327677.474442,82.4742268041237,2174
1676327678.4857068,75.63451776649745,2161
1676327679.5072153,77.97468354430379,2169
1676327680.515963,75.43859649122807,2170
1676327681.522516,78.93401015228426,2175
1676327682.5537217,81.84143222506394,2186
1676327683.5649996,75.12562814070351,2191
1676327684.5723264,78.9873417721519,2173
1676327685.5828743,75.77319587628865,2173
1676327686.591251,78.03030303030303,2175
1676327687.5996583,76.1038961038961,2173
1676327688.6108348,80.71065989847716,2175
1676327689.6206892,76.61691542288558,2173
1676327690.626967,77.31958762886599,2175
1676327691.6339262,77.94871794871796,2168
1676327692.6425366,81.37755102040816,2175
1676327693.6610615,77.19298245614034,2171
1676327694.6693158,75.74257425742574,2168
1676327695.676622,76.26262626262627,2165
1676327696.6961064,77.57731958762886,2172
1676327697.7057378,76.94235588972431,2177
1676327698.7129216,77.22772277227723,2164
1676327699.7185006,75.0,2165
1676327700.7267194,74.55470737913485,2164
1676327701.734529,76.84478371501272,2176
1676327702.7392845,75.90673575129534,2174
1676327703.7475295,80.1526717557252,2183
1676327704.754744,73.98989898989899,2181
1676327705.763517,75.38860103626943,2180
1676327706.7695587,77.35368956743002,2177
1676327707.7821703,76.26262626262627,2170
1676327708.7883935,77.91878172588834,2170
1676327709.7970264,74.35233160621762,2177
1676327710.8103,75.93984962406014,2169
1676327711.8184254,78.93401015228426,2182
1676327712.8262212,76.21483375959079,2178
1676327713.8347957,76.9620253164557,2182
1676327714.8457556,75.83547557840618,2174
1676327715.8550067,73.67088607594935,2172
1676327716.876605,79.23076923076923,2181
1676327717.8833032,72.41379310344827,2181
1676327718.8929765,78.42639593908629,2193
1676327719.8997865,74.43609022556392,2191
1676327720.908057,77.17948717948718,2178
1676327721.9166286,79.48717948717949,2177
1676327722.938378,86.22448979591837,2177
1676327723.9453552,76.0,2167
1676327724.951782,73.83419689119171,2167
1676327725.9790545,76.27551020408163,2181
1676327726.9861255,74.12060301507537,2179
1676327727.9947627,75.88832487309645,2183
1676327729.0047252,76.13065326633166,2179
1676327730.0157027,75.57840616966581,2188
1676327731.0278623,75.44757033248082,2190
1676327732.0341935,74.4186046511628,2185
1676327733.0428448,74.48979591836735,2183
1676327734.0549796,77.46113989637306,2183
1676327735.0607781,74.17721518987341,2181
1676327736.069101,79.64824120603015,2182
1676327737.0789723,74.81108312342569,2180
1676327738.1074612,74.87437185929649,2186
1676327739.117155,77.69423558897243,2180
1676327740.1290674,74.16879795396419,2178
1676327741.139453,78.9873417721519,2169
1676327742.148708,73.94540942928039,2168
1676327743.160985,74.8051948051948,2180
1676327744.1793542,78.03030303030303,2180
1676327745.1906798,74.42455242966753,2166
1676327746.2013922,76.66666666666666,2174
1676327747.208534,74.48453608247422,2181
1676327748.219711,76.13065326633166,2179
1676327749.229767,76.0,2179
1676327750.2407053,75.25773195876289,2178
1676327751.2494287,80.1033591731266,2177
1676327752.2544715,76.98209718670077,2174
1676327753.2623246,75.85301837270342,2177
1676327754.2709982,75.93984962406014,2174
1676327755.2770448,73.10704960835508,2173
1676327756.2847872,79.25,2177
1676327757.2935736,73.3502538071066,2178
1676327758.3020175,78.0361757105943,2185
1676327759.3104987,70.48346055979644,2183
1676327760.3241987,70.73791348600508,2187
1676327761.3308437,77.27272727272727,2186
1676327762.3379393,76.82619647355163,2181
1676327763.347984,76.41025641025641,2181
1676327764.3554156,75.0,2178
1676327765.3693693,75.93984962406014,2172
1676327766.380414,73.2824427480916,2176
1676327767.4018607,75.44757033248082,2178
1676327768.410865,78.57142857142857,2173
1676327769.4184134,76.76767676767678,2180
1676327770.4317374,75.81863979848866,2186
1676327771.4428816,76.48578811369508,2175
1676327772.4511085,72.09302325581395,2174
1676327773.4590065,78.35820895522389,2172
1676327774.469725,63.80208333333333,2172
1676327775.4828832,78.8265306122449,2173
1676327776.4972162,74.9367088607595,2171
1676327777.510664,76.13065326633166,2180
1676327778.518671,79.89821882951654,2181
1676327779.526298,76.63316582914572,2189
1676327780.5347087,76.57430730478589,2188
1676327781.5524166,79.06976744186046,2187
1676327782.561959,78.33753148614609,2175
1676327783.568653,75.56109725685786,2174
1676327784.5827074,76.75,2166
1676327785.5960236,77.29591836734694,2167
1676327786.6066613,46.8671679197995,2170
1676327787.6155539,7.537688442211055,2172
1676327788.627251,7.518796992481203,2164
1676327789.6388748,0.9975062344139696,2164
1676327790.650034,13.0,2177
