Time,CPU %
1676592454.5266013,9.975062344139651
1676592455.537523,17.66169154228856
1676592456.548862,12.749999999999995
1676592457.5593548,8.312342569269527
1676592458.570026,18.67007672634271
1676592459.5811348,9.677419354838712
1676592460.5901463,16.24365482233503
1676592461.6009316,13.93034825870647
1676592462.6133664,26.749999999999996
1676592463.6250253,17.587939698492463
1676592464.6368077,7.788944723618085
1676592465.6481586,17.29323308270677
1676592466.6587505,12.749999999999995
1676592467.6675735,11.250000000000004
1676592468.6791294,18.045112781954884
1676592469.6896608,11.221945137157107
1676592470.7008219,17.63224181360201
1676592471.711071,11.586901763224178
1676592472.7195485,11.557788944723612
1676592473.7319355,15.577889447236181
1676592474.74364,11.442786069651746
1676592475.7543552,18.952618453865334
1676592476.766786,12.219451371571077
1676592477.7753005,13.28320802005013
1676592478.7854445,16.417910447761198
1676592479.795626,10.447761194029848
1676592480.8069427,19.395465994962212
1676592481.818837,12.935323383084574
1676592482.8299613,14.463840399002493
1676592483.8415158,12.749999999999995
1676592484.8525312,10.199004975124382
1676592485.8620555,18.295739348370933
1676592486.8736427,9.999999999999998
1676592487.8829844,16.79197994987469
1676592488.893995,12.250000000000005
1676592489.9051762,15.037593984962406
1676592490.9158938,22.166246851385385
1676592491.926662,14.249999999999996
1676592492.9373505,21.94513715710723
1676592493.9482415,15.384615384615385
1676592494.9590535,9.250000000000004
1676592495.9707444,18.000000000000004
1676592496.981146,9.750000000000004
1676592497.9928417,17.048346055979646
1676592499.0062654,11.111111111111116
1676592500.017221,9.750000000000004
1676592501.0270448,19.444444444444443
1676592502.0373666,9.975062344139651
1676592503.0487592,18.45386533665836
1676592504.0615144,16.000000000000004
1676592505.0714095,9.999999999999998
1676592506.0814335,17.38035264483627
1676592507.0921924,10.075566750629728
1676592508.1010845,18.045112781954884
1676592509.1107702,12.189054726368154
1676592510.1190057,10.696517412935325
1676592511.1291904,16.500000000000004
1676592512.1410255,10.526315789473683
1676592513.151649,18.000000000000004
1676592514.1628458,10.1010101010101
1676592515.170084,11.471321695760594
1676592516.1800406,16.414141414141415
1676592517.1907582,10.499999999999998
1676592518.201547,19.851116625310173
1676592519.211957,11.139240506329118
1676592520.2208223,12.967581047381548
1676592521.2318637,15.749999999999996
1676592522.2429032,11.838790931989928
1676592523.2543905,17.910447761194025
1676592524.2658184,18.45386533665836
1676592525.2732532,13.383838383838388
1676592526.2838356,15.000000000000002
1676592527.2961092,10.696517412935325
1676592528.3074841,18.090452261306535
1676592529.3186307,11.528822055137844
1676592530.326362,14.35768261964736
1676592531.3391366,13.31658291457286
1676592532.3488622,9.975062344139651
1676592533.361373,17.336683417085432
1676592534.3739057,12.967581047381548
1676592535.3816636,15.32663316582915
1676592536.3920176,10.050251256281406
1676592537.401201,9.750000000000004
1676592538.4124856,16.414141414141415
1676592539.4236956,12.531328320802004
1676592540.4335864,23.38308457711443
1676592541.4445431,10.301507537688437
1676592542.4534206,9.022556390977442
1676592543.464612,16.834170854271356
1676592544.4766064,9.22693266832918
1676592545.4866853,18.796992481203013
1676592546.4974456,10.327455919395467
1676592547.5089633,9.950248756218905
1676592548.5200107,16.455696202531644
1676592549.5314076,11.221945137157107
1676592550.5408711,24.874371859296485
1676592551.5531824,9.774436090225569
1676592552.5634053,10.696517412935325
1676592553.5741782,18.45386533665836
1676592554.58479,10.97256857855362
1676592555.5947142,19.047619047619047
1676592556.6056557,11.027568922305765
1676592557.6170154,10.224438902743138
1676592558.6293538,18.136020151133504
1676592559.6417136,10.473815461346636
1676592560.6528573,18.999999999999993
1676592561.6623127,10.075566750629728
1676592562.6706495,11.027568922305765
1676592563.682383,17.128463476070532
1676592564.6929924,10.723192019950122
1676592565.7039533,18.204488778054863
1676592566.712606,11.194029850746269
1676592567.7199702,13.151364764267992
1676592568.7316318,15.617128463476071
1676592569.7427354,11.471321695760594
1676592570.7534945,20.25
1676592571.7646208,9.571788413098236
1676592572.7741685,14.356435643564359
1676592573.7852056,14.035087719298245
1676592574.7990558,10.025062656641603
1676592575.8105297,20.25
1676592576.8226848,10.696517412935325
1676592577.83169,15.249999999999996
1676592578.846366,12.846347607052898
1676592579.857525,10.396039603960395
1676592580.8679307,19.25
1676592581.8783746,12.749999999999995
