Time,CPU %,Memory (MB)
1677515299.9411962,5.5415617128463435,2074
1677515300.953458,28.855721393034827,2081
1677515301.9585133,55.36159600997506,2109
1677515302.981852,56.25,2113
1677515304.0113206,86.13861386138613,2110
1677515305.0378687,81.21951219512195,2121
1677515306.056228,90.0990099009901,2123
1677515307.1098435,92.53731343283582,2112
1677515308.1699433,93.82422802850357,2123
1677515309.2301056,93.99038461538461,2119
1677515310.2451792,93.82422802850357,2135
1677515311.3219514,97.03703703703704,2124
1677515312.3401494,95.74468085106383,2135
1677515313.3808181,96.28712871287128,2130
1677515314.4053476,97.59615384615384,2139
1677515315.4470613,98.03439803439802,2149
1677515316.480147,95.91346153846155,2144
1677515317.536684,97.30392156862744,2160
1677515318.5887332,99.2874109263658,2154
1677515319.6759424,94.48441247002398,2157
1677515320.693905,98.15668202764977,2171
1677515321.7462144,96.56019656019656,2167
1677515322.8313339,98.32134292565947,2171
1677515323.8634875,97.22222222222221,2172
1677515324.88698,97.29064039408867,2172
1677515325.9368792,98.53658536585365,2185
1677515326.994246,97.85202863961814,2180
1677515328.0710678,98.80952380952381,2177
1677515329.1154227,96.72897196261682,2187
1677515330.1633794,99.27710843373494,2195
1677515331.218612,98.32935560859188,2197
1677515332.2338388,97.85714285714285,2192
1677515333.2878127,99.25742574257426,2214
1677515334.347454,98.57142857142858,2207
1677515335.4138255,99.06542056074767,2223
1677515336.4887352,97.87234042553192,2222
1677515337.613317,98.6046511627907,2216
1677515338.6628768,99.55456570155901,2235
1677515339.7446594,98.5781990521327,2231
1677515340.7692096,97.91666666666666,2230
1677515341.8338485,99.26650366748166,2245
1677515342.8496175,97.6470588235294,2245
1677515343.8751168,98.27160493827161,2244
1677515344.9068458,98.53300733496333,2251
1677515346.0221756,99.27184466019418,2247
1677515347.0900545,98.43400447427292,2250
1677515348.1940448,98.36829836829837,2264
1677515349.3083572,98.86104783599089,2266
1677515350.4005184,99.54853273137697,2286
1677515351.4336338,98.4090909090909,2272
1677515352.4448526,99.27184466019418,2280
1677515353.5525868,99.50372208436724,2267
1677515354.6338372,99.32885906040269,2278
1677515355.693917,98.36448598130842,2286
1677515356.725553,99.29245283018868,2291
1677515357.7644148,99.27007299270073,2296
1677515358.8346884,99.28057553956835,2306
1677515359.8887966,98.58490566037736,2311
1677515361.0401652,99.2874109263658,2299
1677515362.120405,99.1304347826087,2303
1677515363.1875913,98.13953488372094,2307
1677515364.4613798,98.82075471698113,2306
1677515365.5067325,98.81656804733728,2307
1677515366.7218585,99.28229665071771,2309
1677515367.8618538,99.39148073022312,2315
1677515368.8881764,99.55357142857143,2310
1677515369.9903421,98.54014598540147,2296
1677515371.0640564,98.63013698630137,2306
1677515372.0933864,99.53596287703016,2311
1677515373.1859112,98.0440097799511,2315
1677515374.3660634,99.31818181818181,2315
1677515375.4062834,99.36034115138592,2306
1677515376.4984279,98.79807692307693,2305
1677515377.530738,98.86104783599089,2303
1677515378.5786932,98.78345498783455,2302
1677515379.6658182,99.28400954653938,2310
1677515380.7379618,98.85321100917432,2306
1677515381.7668676,98.6013986013986,2317
1677515382.9141018,99.02439024390245,2309
1677515383.9443755,99.34497816593887,2309
1677515384.9739761,98.78345498783455,2313
1677515386.0644484,99.02912621359224,2306
1677515387.1219618,98.62385321100918,2305
1677515388.2616236,99.06103286384976,2309
1677515389.3739917,99.11699779249447,2308
1677515390.4067314,97.75280898876404,2307
1677515391.4581983,98.29268292682927,2315
1677515392.5971727,99.2874109263658,2314
1677515393.788401,99.56140350877193,2328
1677515394.8389058,99.57894736842105,2307
1677515395.9385107,98.80952380952381,2307
1677515396.9868886,99.31350114416476,2302
1677515398.0505383,97.85714285714285,2297
1677515399.1957378,99.29742388758783,2309
1677515400.2979236,98.89867841409692,2312
1677515401.4005435,99.31506849315068,2306
1677515402.452631,98.41269841269842,2306
1677515403.6021173,99.04988123515439,2310
1677515404.6619492,98.46827133479212,2312
1677515405.7680907,99.29078014184397,2315
1677515406.793391,99.09297052154194,2315
1677515407.9195213,99.0314769975787,2314
1677515409.0340056,99.33035714285714,2307
1677515410.1065543,99.10313901345292,2306
1677515411.1838071,99.29906542056075,2315
1677515412.2270231,99.07192575406032,2319
1677515413.3860393,99.27884615384616,2309
1677515414.5151277,98.70967741935483,2308
1677515415.5859387,99.33184855233853,2315
1677515416.637999,98.82903981264637,2312
1677515417.684678,98.81796690307328,2293
1677515418.725561,98.56801909307876,2312
1677515419.802502,98.5576923076923,2311
1677515420.8396204,99.07407407407408,2311
1677515421.9621649,98.30508474576271,2316
1677515422.9913845,97.32142857142857,2316
1677515424.0391417,98.54014598540147,2316
1677515425.08175,99.04988123515439,2313
1677515426.1399364,98.54721549636804,2309
1677515427.284535,98.5781990521327,2320
1677515428.3789225,99.56896551724138,2322
1677515429.4721658,98.39080459770115,2316
1677515430.5141993,98.85844748858447,2312
1677515431.5697474,98.5576923076923,2320
1677515432.6982682,98.82075471698113,2321
1677515433.869768,99.10913140311804,2322
1677515434.9971254,98.72340425531915,2316
1677515436.0325105,99.55456570155901,2323
1677515437.1345966,99.04306220095694,2319
1677515438.1606812,98.39816933638444,2317
1677515439.2353208,99.02439024390245,2317
1677515440.317969,99.53488372093024,2327
1677515441.3961902,98.83990719257541,2329
1677515442.4537413,98.61431870669746,2328
1677515443.5745797,98.80952380952381,2325
1677515444.7329693,98.87892376681614,2324
1677515445.8195016,99.13793103448276,2318
1677515447.0060594,98.84526558891456,2326
1677515448.1658638,98.94514767932489,2329
1677515449.231874,99.78448275862068,2330
1677515450.3498511,98.82629107981221,2335
1677515451.4210458,99.10714285714286,2333
1677515452.449838,99.06323185011709,2329
1677515453.5623004,99.51456310679612,2331
1677515454.6142855,99.32432432432432,2342
1677515455.7296221,99.29245283018868,2327
1677515456.7899427,99.54545454545455,2326
1677515457.8585522,99.05882352941177,2331
1677515458.9541812,98.11764705882354,2326
1677515460.0258653,99.09297052154194,2323
1677515461.0986984,99.29906542056075,2337
1677515462.1818986,99.06542056074767,2337
1677515463.4190483,98.60788863109049,2325
1677515464.4700315,98.98989898989899,2322
1677515465.6615496,98.80668257756562,2321
1677515466.7211692,99.16492693110646,2334
1677515467.8765743,99.05437352245863,2336
1677515468.9234376,98.91540130151843,2317
1677515470.0160162,99.04076738609112,2327
1677515471.1199546,99.54441913439635,2332
1677515472.1485858,98.86104783599089,2330
1677515473.249549,98.2885085574572,2318
1677515474.2827356,99.09297052154194,2321
1677515475.5736597,98.78048780487805,2316
1677515476.6877933,99.0272373540856,2313
1677515477.7658253,97.97297297297297,2323
1677515478.8046763,98.61111111111111,2314
1677515479.8952804,99.51807228915662,2318
1677515480.9534287,99.30715935334872,2326
1677515482.0113795,99.29078014184397,2319
1677515483.1538603,99.0521327014218,2324
1677515484.335716,99.56616052060737,2327
1677515485.4795234,99.15433403805497,2324
1677515486.5917406,99.56427015250546,2324
1677515487.6621282,99.09297052154194,2313
1677515488.749831,99.53379953379954,2316
1677515489.853714,99.08675799086758,2321
1677515491.063684,98.40546697038725,2326
1677515492.1101224,99.79381443298969,2320
1677515493.1593497,98.80382775119617,2326
1677515494.2400274,99.28229665071771,2323
1677515495.3902874,99.30875576036865,2326
1677515496.5351691,99.56236323851203,2332
1677515497.583983,98.68421052631578,2332
1677515498.7387712,98.81516587677726,2320
1677515499.8079767,99.56803455723542,2324
1677515501.0017824,99.76689976689977,2334
1677515502.1369994,99.15433403805497,2327
1677515503.1972053,99.11894273127754,2328
1677515504.2678301,98.82075471698113,2326
1677515505.342944,99.29742388758783,2323
1677515506.5045953,99.30875576036865,2332
1677515507.5368555,99.35064935064936,2337
1677515508.6151772,98.55072463768117,2333
1677515509.721992,99.53488372093024,2333
1677515510.777824,99.77426636568849,2338
1677515512.0433078,99.5249406175772,2334
1677515513.1011896,99.4059405940594,2332
