Time,CPU %,Memory (MB)
1676398125.9177399,0.0,1.736
1676398126.9730375,6.633199879175075,1.86
1676398128.0228467,19.05108058445424,3.772
1676398129.0678358,16.98582295878487,3.78
1676398130.0970318,22.10463261690884,3.788
1676398131.121782,23.420341107750982,3.796
1676398132.1838357,19.773011842204507,3.896
1676398133.253267,22.20806506269062,3.904
1676398134.2976518,22.980037516547892,3.912
1676398135.3213215,23.200842559895214,3.92
1676398136.3730295,22.58231408672005,3.928
1676398137.4305828,21.984707712424186,3.936
1676398138.44699,22.628724823902488,3.944
1676398139.5490532,23.36526661111095,3.948
1676398140.6250455,24.163740663442105,3.952
1676398141.7064834,24.273240093044784,3.96
1676398142.7657855,24.30845761962265,3.972
1676398143.7947989,24.538067351792574,3.98
1676398144.8446548,24.765302384626455,4.404
1676398145.8715518,25.075544250238817,4.412
1676398146.9810162,23.20939710935869,4.42
1676398148.029486,24.321158740868025,4.428
1676398149.0867026,22.937588176500913,4.428
1676398150.1457262,23.370583585685893,4.436
1676398151.3211267,21.907426530739354,4.444
1676398152.426208,24.20636338746943,4.456
1676398153.5386565,23.821328446293936,4.464
1676398154.6212132,22.862543309521403,4.472
1676398155.7136667,25.172696603858196,4.488
1676398156.9266114,17.519347084664496,4.496
1676398158.021943,25.79127473741627,4.504
1676398159.0981095,24.624444892948716,4.572
1676398160.2156932,21.474900618369787,4.58
1676398161.301432,24.40734681652156,4.588
1676398162.4545767,21.896642297131848,4.596
1676398163.5375552,25.623777695245675,4.604
1676398164.7381575,19.365280355764476,4.608
1676398165.785815,26.487664404439116,4.616
1676398166.961743,19.984214752037733,4.624
1676398168.03026,24.56676004672343,4.632
1676398169.076323,26.767031657620464,4.64
1676398170.1644235,21.137754654868413,4.648
1676398171.4451914,19.519539532346847,4.66
1676398172.4971392,27.330252625170825,4.672
1676398173.6948032,19.830269219828114,4.68
1676398174.7891805,26.270647741218067,4.688
1676398175.9951448,21.766813010447915,4.696
1676398177.1052265,26.799829897637846,4.716
1676398178.2234178,22.35753514793283,4.724
1676398179.4671767,21.306379910836448,4.732
1676398180.8613627,20.800667619757654,4.74
1676398182.1268394,24.891805522218796,4.748
1676398183.2381248,27.44569368099906,4.756
1676398184.6634297,17.364705740660668,4.764
1676398185.8320448,30.377837763619414,4.776
1676398187.0192955,23.373329665099625,4.776
1676398188.1691952,26.524052001346014,4.776
1676398189.542461,19.661161819991797,4.776
1676398190.609473,32.56757905989066,4.776
1676398191.6913939,25.41775555019335,4.776
1676398192.788027,25.304723680013936,4.776
1676398193.9773877,22.280878974609852,4.776
1676398195.2167637,22.79372720417371,4.776
1676398196.3833005,25.93145779214794,4.776
1676398197.4576292,31.414967529290195,4.776
