Time,CPU %,Memory (MB)
1676398125.9192195,16.28498727735369,2667
1676398126.9385684,47.60705289672544,2665
1676398127.961544,82.82051282051282,2677
1676398128.981884,87.34491315136476,2664
1676398130.0300512,95.04950495049505,2706
1676398131.0561738,94.93975903614458,2717
1676398132.0852208,95.57739557739558,2720
1676398133.1229355,95.57739557739558,2726
1676398134.1572113,95.63106796116504,2735
1676398135.1853094,97.82082324455206,2750
1676398136.221036,97.07317073170731,2751
1676398137.2493415,95.85365853658536,2761
1676398138.2674556,97.05159705159704,2760
1676398139.339114,94.78908188585608,2766
1676398140.4365282,97.42990654205607,2791
1676398141.4715471,97.94520547945206,2803
1676398142.481036,98.05825242718447,2799
1676398143.5414197,99.25558312655087,2809
1676398144.6026857,98.3529411764706,2807
1676398145.683537,97.60765550239235,2820
1676398146.7241783,97.45370370370371,2825
1676398147.8348854,98.30097087378641,2834
1676398148.8989847,98.88143176733782,2840
1676398149.9665258,98.58823529411764,2845
1676398150.9970932,97.66899766899768,2838
1676398152.1062644,99.26829268292683,2863
1676398153.1771455,98.86363636363636,2867
1676398154.3930225,98.6013986013986,2868
1676398155.5052376,98.97119341563786,2883
1676398156.5504313,98.86363636363636,2889
1676398157.6622841,99.5249406175772,2894
1676398158.8602772,99.77678571428571,2905
1676398159.9634652,98.72881355932203,2919
1676398161.070657,99.5433789954338,2927
1676398162.1346595,99.3212669683258,2937
1676398163.3400877,98.35680751173709,2940
1676398164.5187142,98.96265560165975,2948
1676398165.6154792,99.15254237288136,2946
1676398166.8061132,99.08883826879271,2962
1676398167.941627,99.57894736842105,2964
1676398169.096735,98.89380530973452,2972
1676398170.3352933,99.78354978354979,2995
1676398171.3905017,99.19028340080972,3001
1676398172.4432065,99.52606635071089,2997
1676398173.5005007,99.76133651551312,3022
1676398174.6256526,99.52830188679245,3030
1676398175.777041,99.33333333333333,3035
1676398176.9580393,98.47494553376906,3045
1676398177.9875462,99.1578947368421,3054
1676398179.0887964,99.26470588235294,3049
1676398180.2667797,99.77324263038548,3043
1676398181.4612377,99.78768577494692,3054
1676398182.6974244,99.36974789915966,3063
1676398184.1607826,99.79797979797979,3074
1676398185.3810363,99.830220713073,3096
1676398186.61395,99.37888198757764,3091
1676398187.8510604,99.79633401221996,3103
1676398189.0450048,99.79797979797979,3092
1676398190.164629,99.79123173277662,3105
1676398191.3346636,99.5505617977528,3108
1676398192.406831,99.14163090128756,3113
1676398193.593057,98.83177570093457,3117
1676398194.6721904,99.78991596638656,3111
1676398195.98853,98.83177570093457,3117
1676398197.0930245,99.62049335863378,3119
1676398198.3379352,98.63636363636363,3122
1676398199.3790605,98.79032258064517,3120
1676398200.5128179,99.51690821256038,3125
1676398201.7119572,99.55947136563876,3136
1676398202.869204,99.17525773195877,3128
1676398203.939425,99.56331877729258,3132
1676398205.1478155,99.29742388758783,3130
1676398206.331139,98.54166666666667,3128
1676398207.780725,99.36305732484077,3124
1676398209.1412756,99.65576592082617,3122
1676398210.2093344,99.26062846580407,3118
1676398211.2420242,99.29577464788733,3123
1676398212.3384752,99.27007299270073,3126
1676398213.4623344,99.31506849315068,3120
1676398214.5264375,99.55456570155901,3116
1676398215.6054919,99.30555555555556,3112
1676398216.7511158,99.53051643192488,3109
1676398217.8396454,99.35064935064936,3115
1676398218.8989744,99.07192575406032,3114
1676398219.9250803,99.28571428571429,3109
1676398221.0268886,99.02912621359224,3105
1676398222.229036,99.08675799086758,3101
1676398223.4179142,99.58847736625515,3113
1676398224.5033233,99.14712153518124,3112
1676398225.6720603,99.07834101382488,3113
1676398226.8625548,99.57264957264957,3109
1676398228.0473537,99.3723849372385,3124
1676398229.2684388,99.57894736842105,3133
1676398230.4587,99.58592132505176,3129
1676398231.5277348,98.73150105708245,3123
1676398232.548033,99.76635514018692,3133
1676398233.6491604,99.51456310679612,3133
1676398234.7807493,99.77116704805492,3132
1676398235.8976865,99.33774834437085,3128
1676398237.262097,99.55156950672645,3144
1676398238.5113516,99.45054945054946,3129
1676398239.7313578,99.60159362549801,3127
1676398240.830573,99.58592132505176,3133
1676398241.996716,99.09502262443439,3141
1676398243.122908,99.13606911447084,3128
1676398244.269071,99.55357142857143,3132
1676398245.3752506,99.34497816593887,3122
1676398246.5384204,98.63945578231292,3125
1676398247.6316504,99.78401727861771,3130
1676398248.6812797,99.31350114416476,3140
1676398249.7661204,99.04306220095694,3125
1676398251.0587463,99.07834101382488,3126
1676398252.2655683,99.6124031007752,3128
1676398253.4533906,98.76288659793815,3125
1676398254.6498117,99.36974789915966,3132
1676398256.0587535,99.58071278825996,3147
1676398257.1370573,99.64601769911503,3141
1676398258.3090336,99.53271028037383,3140
1676398259.484916,98.73684210526315,3131
1676398260.5730498,99.78401727861771,3136
1676398261.7720904,98.8425925925926,3127
1676398262.9174213,99.58246346555325,3131
1676398264.0281758,98.91067538126362,3127
1676398265.1429493,99.32432432432432,3133
1676398266.4218242,98.86621315192744,3136
1676398267.6738605,99.0234375,3128
1676398268.6968284,99.20159680638723,3138
1676398269.7494547,99.51219512195122,3130
1676398270.9196267,99.28229665071771,3128
1676398272.1518214,98.92933618843684,3126
1676398273.38549,99.3963782696177,3134
1676398274.710968,98.16700610997964,3127
1676398275.8391654,99.43820224719101,3130
1676398276.9214766,99.55156950672645,3127
1676398278.1341841,99.53810623556582,3124
1676398279.2626035,98.96694214876032,3124
1676398280.4170215,99.34065934065934,3145
1676398281.6978893,99.35897435897436,3136
1676398282.7450638,99.2094861660079,3134
1676398284.1380227,99.27710843373494,3140
1676398285.1955729,99.64093357271095,3132
1676398286.5230494,99.52606635071089,3132
1676398287.6308181,99.62476547842401,3141
1676398288.7056787,99.77272727272727,3136
1676398289.7770596,99.30394431554525,3134
1676398290.9650402,99.53271028037383,3132
1676398292.1616912,99.1578947368421,3128
1676398293.408784,99.375,3137
1676398294.4727154,99.79959919839679,3135
1676398295.5396385,99.06103286384976,3123
1676398296.5731535,99.52830188679245,3120
1676398297.7886348,99.03381642512076,3127
1676398298.989382,99.7946611909651,3130
1676398300.1844583,99.375,3130
1676398301.3607135,99.581589958159,3123
1676398302.3711286,99.14529914529915,3133
1676398303.4301555,99.50372208436724,3135
1676398304.6852672,99.76744186046511,3140
1676398305.7368238,99.18864097363083,3131
1676398306.7666564,99.52606635071089,3128
1676398307.968124,98.79227053140096,3131
1676398309.0649369,99.375,3135
1676398310.3211231,99.77220956719817,3136
